"PassengerId","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked"
1,"No","3rd","Male",-0.532158042257722,0.432550428041802,-0.47340772456839,-0.502163136515605,"Southampton"
2,"Yes","1st","Female",0.644688184085905,0.432550428041802,-0.47340772456839,0.786403617834538,"Cherbourg"
3,"Yes","3rd","Female",-0.237946485671815,-0.474278822276423,-0.47340772456839,-0.488579851581261,"Southampton"
4,"Yes","1st","Female",0.424029516646475,0.432550428041802,-0.47340772456839,0.420494069765409,"Southampton"
5,"No","3rd","Male",0.424029516646475,-0.474278822276423,-0.47340772456839,-0.486064428445271,"Southampton"
6,"No","3rd","Male",-0.0908407073788618,-0.474278822276423,-0.47340772456839,-0.477848050313875,"Queenstown"
7,"No","1st","Male",1.82153441042953,-0.474278822276423,-0.47340772456839,0.395591380719111,"Southampton"
8,"No","3rd","Male",-2.00321582518726,2.24620892867825,0.767198988932891,-0.223957337675147,"Southampton"
9,"Yes","3rd","Female",-0.164393596525338,-0.474278822276423,2.00780570243417,-0.424017995203696,"Southampton"
10,"Yes","2nd","Female",-1.12058115542954,0.432550428041802,-0.47340772456839,-0.0429313901012591,"Cherbourg"
11,"Yes","3rd","Female",-1.8561100468943,0.432550428041802,0.767198988932891,-0.311997147434786,"Southampton"
12,"Yes","1st","Female",2.11574596701544,-0.474278822276423,-0.47340772456839,-0.113781804318799,"Southampton"
13,"No","3rd","Male",-0.679263820550675,-0.474278822276423,-0.47340772456839,-0.486064428445271,"Southampton"
14,"No","3rd","Male",0.718241073232382,0.432550428041802,5.72962584293801,-0.0186988097783889,"Southampton"
15,"No","3rd","Female",-1.12058115542954,-0.474278822276423,-0.47340772456839,-0.490004587245486,"Southampton"
16,"Yes","2nd","Female",1.89508729957601,-0.474278822276423,-0.47340772456839,-0.326083516996328,"Southampton"
17,"No","3rd","Male",-2.00321582518726,3.15303817899648,0.767198988932891,-0.0619640877174114,"Queenstown"
18,"Yes","2nd","Male",0.0194886263408532,-0.474278822276423,-0.47340772456839,-0.38645367226008,"Southampton"
19,"No","3rd","Female",0.129817960060568,0.432550428041802,-0.47340772456839,-0.285836746820493,"Southampton"
20,"Yes","3rd","Female",-1.15735760000277,-0.474278822276423,-0.47340772456839,-0.502666221142803,"Cherbourg"
21,"No","2nd","Male",0.424029516646475,-0.474278822276423,-0.47340772456839,-0.124849666117153,"Southampton"
22,"Yes","2nd","Male",0.350476627499998,-0.474278822276423,-0.47340772456839,-0.38645367226008,"Southampton"
23,"Yes","3rd","Female",-1.04702826628306,-0.474278822276423,-0.47340772456839,-0.4864829948551,"Queenstown"
24,"Yes","1st","Male",-0.0908407073788618,-0.474278822276423,-0.47340772456839,0.0663224922180623,"Southampton"
25,"No","3rd","Female",-1.5618984903084,2.24620892867825,0.767198988932891,-0.223957337675147,"Southampton"
26,"Yes","3rd","Female",0.644688184085905,0.432550428041802,5.72962584293801,-0.0164349289559982,"Southampton"
27,"No","3rd","Male",-0.146005374238719,-0.474278822276423,-0.47340772456839,-0.502666221142803,"Cherbourg"
28,"No","1st","Male",-0.752816709697152,2.24620892867825,2.00780570243417,4.64439259971928,"Southampton"
29,"Yes","3rd","Female",-0.56893448683096,-0.474278822276423,-0.47340772456839,-0.489501502618288,"Queenstown"
30,"No","3rd","Male",-0.56893448683096,-0.474278822276423,-0.47340772456839,-0.489167454425828,"Southampton"
31,"No","1st","Male",0.791793962378858,-0.474278822276423,-0.47340772456839,-0.090221345057865,"Cherbourg"
